Organization,CO2 Emissions
TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A,24.86
Netvision S.A.,24.86
CHACO COMUNICACIONES S.A.,24.86
MEGANET S.R.L.,24.86
SOLAR BANCO S.A.E.,24.86
Banco Familiar SAECA,24.86
Banco Itau Paraguay S.A.,24.86
NETEL S.A.,24.86
FINANCIERA PARAGUAYO JAPONESA S.A.,24.86
Vision Banco,24.86
PLANET S.A.,24.86
Subsecretaria de Estado de Tributacion,24.86
BANCO GNB PARAGUAY SOCIEDAD ANONIMA EMISORA DE CAPITAL ABIERTO,24.86
Datapar SA,24.86
COOPERATIVA COLONIZADORA MULTIACTIVA FERNHEIM LTDA,24.86
SANCHEZ ANIBAL RAMON ARSOFT INTERNET,24.86
ACAS TECNOLOGIAS S.A.,24.86
INTERNET & MEDIA S.A.,24.86
Masternet Telecomunicaciones,24.86
Cable Television Satelital SRL,24.86
SOL TELECOMUNICACIONES S.A.,24.86
GRUPO SPEED NET SOCIEDAD ANONIMA,24.86
DIRECCION NACIONAL DE ADUANAS,24.86
Liz Carolina Zavala Martinez Link Telecomunicaciones,24.86
VIVE TELECOM S.A.,24.86
Secretaria Nacional de Tecnologias de la Informacion y Comunicaciones,24.86
Consultronic S.A.E.C.A.,24.86
Direccion Nacional de Contrataciones Publicas,24.86
MONGELOS ARCE MARCIALDELTA NETWORKS,24.86
Nucleo S.A.,24.86
SCPT,27.04
CEDESURK,27.04
COWS,27.04
OLIVERSOFT,27.04
Orioncom,27.04
ISS,27.04
AFRINET,27.04
SecuritasIceland Securitas hf.,28.33
KAPALVAEDING Kapalvaeding ehf.,28.33
OpinKerfi2024 Opin Kerfi hf,28.33
Tactica Tactica ehf,28.33
NETBERG Netpandan ehf,28.33
protegion Rapyd Europe hf.,28.33
Austurljos Rafey ehf,28.33
Borgun Teya Iceland hf,28.33
aswintermute Wintermute Technologies EHF,28.33
ts TechSupport ehf,28.33
IHOTELS BERJAYA HOTELS ICELAND hf,28.33
RFS Umbra Service Center Management,28.33
isa Isavia ohf,28.33
RB Reiknistofa bankanna hf.,28.33
RARIK RARIK ohf.,28.33
ISNIC Internet a Islandi hf,28.33
NETVOKTUN Netvoktun ehf,28.33
SPAUGURDATA Spaugur ehf.,28.33
Gagnaveitan Gagnaveitan ehf.,28.33
tolvuthjonustan Tolvuthjonustan ehf.,28.33
HKIT Helgeland Kraft Vannkraft AS,30.75
Adcom IT DATA AS,30.75
ICENET Lyse Tele AS,30.75
NFK NORDLAND FYLKESKOMMUNE,30.75
Foreach Foreach AS,30.75
FARA Fara AS,30.75
SMARTHELP SMARTHELP AS,30.75
FNUTT Daniel Husand,30.75
OBRENET Eigil Obrestad,30.75
BNNIT AKVA group ASA,30.75
ABAX ABAX as,30.75
PELIAS IMC AS,30.75
inventum Inventum Ost AS,30.75
DUETT Duett AS,30.75
nettverkspartner UPHEADS AS,30.75
EGNORGE EG Norge AS,30.75
fiberverket Fiberverket AS,30.75
PCSUPPORT TUSSA IKT AS,30.75
Schibsted Vend Marketplaces ASA,30.75
INFRAGREEN Bulk Infrastructure Holding AS,30.75
PHONERO Telia Norge AS,30.75
STAYON NORDVEST FIBER AS,30.75
ZETTAIO Nexthop AS,30.75
GRUNERNETT Domeneshop AS,30.75
CYBERON Cyberon Security AS,30.75
CyberHawk Jo Christian Skrede Buvarp,30.75
BLIXTRANSIT Blix Group AS,30.75
FIXO Blix Group AS,30.75
HVALERBREDBAND Hvaler kommune,30.75
KARSTENSEN Isokron AS,30.75
PatientSky EG Norge AS,30.75
MULTIHOST Nexthop AS,30.75
infranord InfraNord Fiber AS,30.75
ALTAKRAFTLAG AKSA HJEM AS,30.75
LUOSTEJOK INFRANORD SA,30.75
BAYONETTE Nexthop AS,30.75
VarangerKraftUtvikling Varanger KraftFiber AS,30.75
hfestenergi Hammerfest Energi Bredbaand AS,30.75
iktorkide Sunndal kommune,30.75
IVERNORGE IVER NORGE AS,30.75
SHARPTECH sharptech DA,30.75
Bluestone Bluestone AS,30.75
surfnet Surfnett AS,30.75
NETWORKTECH Network Technology Harald Firing Karlsen,30.75
SYGARD PE SLAEN SYGARD,30.75
RINGSTADAS Ringstad Consulting AS,30.75
BOFIBER Bofiber AS,30.75
ThreenetAS 3NET AS,30.75
MIMER Tafjord Connect AS,30.75
NorwegianHealthnetwork Norsk Helsenett SF,30.75
erate Erate AS,30.75
TIKT TUSSA IKT AS,30.75
moelven_nordia Moelven Modus AS,30.75
DNBASA DNB BANK ASA,30.75
LOCALHOST_AS LOCALHOST AS,30.75
ZNETT Petabit AS,30.75
AVVID Cisco Systems Norway AS,30.75
WintershallDeaNorge Harbour Energy Norge AS,30.75
RenRorosAksess NEAS ENERGI TELEKOM ROROSREGIONEN AS,30.75
Provendo Provendo AS,30.75
NSM NASJONAL SIKKERHETSMYNDIGHET,30.75
MEDIANETWERK NEP Norway AS,30.75
TELEFIBER Telefiber AS,30.75
Administrator Administrator Systems AS,30.75
NEXTGENTEL NextGenTel AS,30.75
KSAT Kongsberg Satellite Services AS,30.75
NORSKREGNESENTRAL Norsk Regnesentral,30.75
NPT Nasjonal kommunikasjonsmyndighet,30.75
UNINETT UNINETT,30.75
BITPRO Bitpro,30.75
TMNET Telemix AS,30.75
MONSTERNETT Monsternett AS,30.75
SVORKA Svorka AS,30.75
RUNNANE GLOBALCONNECT AS,30.75
DPIT Dataplan Omega AS,30.75
timeit TIMEIT AS,30.75
UPHEADS UPHEADS AS,30.75
BASIS Basis Consulting AS,30.75
XAIT Xait AS,30.75
vossfiber Voss Fiber AS,30.75
Lysglimt Austevoll Kraftlag BA,30.75
MULTINETT MULTINETT AS,30.75
GAB Gab Ai Inc,30.75
NETSCENARIO ADVANIA NORGE AS,30.75
INNIT Arribatec Cloud AS,30.75
Trollfjord Trollfjord Bredband AS,30.75
Nordfjordnett NORDFJORDNETT,30.75
MRFK More og Romsdal fylkeskommune,30.75
eidsivaenergi Eidsiva Energi AS,30.75
HardangerBreiband Hardanger Breiband AS,30.75
sktv Sortland Elektro AS,30.75
ELTELE Eltele AS,30.75
banenor Bane NOR SF,30.75
HaldenDataservice Viken Fiber AS,30.899058000000004
Nordfiber NORDFIBER AS,31.03167605586853
NEXTHOP Nexthop AS,31.385124683291107
TEMPUS GROUP S.A.,31.389384312810424
Keminet Keminet SHPK,31.52630944050118
NETNORDIC Netnordic Group AS,32.849517000000006
xtreme X Treme AS,33.285
NSC NSC Sh.p.k,34.3
IVER IVER NORGE AS,34.8525102944251
SafespringSE Safespring AB,35.0957505
Douglas Back Pavan SI NET,35.306666666666665
FOILHAT IP Excess AB,35.60875
ILAIT Hostek AB,35.756625
MEDIATEKNIK Mediateknik i Varberg AB,35.8177178153446
ASPIXOYO Internet Vikings International AB,35.82
Resilans Resilans AB,35.82
stingnet Bahnhof AB,35.82
PCL PCL Data AB,35.82
GLOBALWIRE Globalwire AB,35.82
FRITIDSRESOR TUI Sverige AB,35.82
DATAKON1 Datakonsult Magnus Sandberg,35.82
MEDIAFRONTIERS OCTN Networks AB,35.82
Rockan01S Rockan Data Center AB,35.82
TPO The Production Office in Stockholm AB,35.82
FFC Fast Fiber Connection i Sverige AB,35.82
OFFICESVERIGE Office Sverige AB,35.82
VolvoCars Volvo Personvagnar AB,35.82
WBERGNET Alexander Wagberg trading as Wberg Networks,35.82
PAF PAFTECH AB,35.82
WBERGNET Wberg Networks,35.82
BAGNET Bengt Arne Gorden,35.82
CREPUNDIA A.M.S. Carlzon,35.82
PHONERA Availo Networks AB,35.82
Uppsala Lans Landsting,35.82
HELSINGENET Bollnas energi AB,35.82
AXIMA Axima AB,35.82
BDNC Iver Sverige AB,35.82
hnode Hostnode AB,35.82
MULTICOM AddSecure AB,35.82
elnic Internet Vikings International AB,35.82
Straznet Straznet AB,35.82
VMAR VMAR IT AB,35.82
ESAB ESAB AB,35.82
ULRICEHAMNS Ulricehamns Energi AB,35.82
SECTRA Sectra Imaging IT Solutions AB,35.82
LANSSTYRELSEN Lansstyrelsen i Vastra Gotalands lan,35.82
Lopnet lopnet AB,35.82
RUNCOM RUN Communications AB,35.82
GRIDCORE atNorth HPC AB,35.82
VastraGotalandsRegionen VASTRA GOTALANDS LANS LANDSTING,35.82
SVENSKASPEL AB Svenska Spel,35.82
KIRUNAKOMMUN Kiruna kommun,35.82
EMBER Ember AB,35.82
Fagerhult Fagerhult Group AB,35.82
FIBERDATANET Transtema Fiberdata AB,35.82
UMEAENERI Umea Energi AB,35.82
AS_OVANAKER_SE Ovanakers kommun,35.82
ucab UC AB,35.82
SECURITASDIRECT_M Securitas Direct AB,35.82
RACKFISH Rackfish AB,35.82
IPEX IP Excess AB,35.82
OLIKA OLiKA Networks,35.82
BINARYGRID BinaryGrid Industries Sweden AB,35.82
ELASTX ELASTX AB,35.82
QAVAT Qavat AB,35.82
NESSLA Nessla AB,35.82
HOLCK Anders Holck,35.82
ERIKLARSSON Lars Erik Reuterborg Larsson,35.82
KHOSTING Kareby Hosting AB,35.82
VERKLIGENDATA Verkligen Data AB,35.82
ARTILECT Artilect AB,35.82
MONOSECURITY MonoSecurity AB,35.82
HOSTUP Hostup AB,35.82
ALVNET Alvsbyns Kommun,35.82
neanet BrainMill AB,35.82
KONTEI N.Henulin,35.82
SECURITASDIRECT Securitas Direct AB,35.82
cheetah Internet Vikings International AB,35.82
ADDSEC Addsec AB,35.82
guleboj Internet Vikings International AB,35.82
GOAGEX Mr. Jonas Henrik Alexandersson,35.82
LOOPIA2 Loopia AB,35.82
Webkom Patrik Olsson,35.82
SHADOWFORCE Baffin Bay Networks AB,35.82
ENCEPT Baffin Bay Networks AB,35.82
TRISEC LMQ Kompetens AB,35.82
TH1NG TH1NG AB (publ),35.82
ASSCD Sheimo Scorpion Data AB,35.82
kodmyran Kodmyran AB,35.82
KEPLER Kepler Technologies AB,35.82
OSTERAKER Osterakers Kommun,35.82
OCTANS OCTN Networks AB,35.82
DATACOMM DataCom Group Nordic AB,35.82
umenet Umea Energi Umenet AB,35.82
tranquillity Mikael Frykholm trading as Tranquillity,35.82
EITECH Eitech AB,35.82
Hexabyte Hexabyte AB,35.82
BLOCKA Blocka AB,35.82
TVNET Rustam Jafarov trading as TVNET Solution,35.82
IONIP GTT Communications Inc.,35.82
TELELOCATION InfraCom QoS AB,35.82
HUXNET Hugo Blom,35.82
jonasem Jonas Emilsson,35.82
FRAGNET Fragnet Networks International AB,35.82
NorrNod UMDAC,35.82
Equitia Piotr R. Antos trading as EQUITIA,35.82
OPENBGPD Peter Hessler,35.82
MODIN Klara Modin,35.82
SONIX Kamel Networks Association,35.82
NORDLOVXOLBY Nordlo Vaxjo & Ljungby AB,35.82
metallgutten Internet Vikings International AB,35.82
perfectsense Perfect Sense AB,35.82
HEMAB Servanet AB,35.82
kempetorsk Internet Vikings International AB,35.82
domaws Internet Vikings International AB,35.82
globalhosting Internet Vikings International AB,35.82
fleet Internet Vikings International AB,35.82
zbridge Internet Vikings International AB,35.82
quickd Internet Vikings International AB,35.82
graboto Internet Vikings International AB,35.82
clouded Internet Vikings International AB,35.82
wingtop Internet Vikings International AB,35.82
speed Internet Vikings International AB,35.82
NOINTERNET Internet Vikings International AB,35.82
DHOLD Internet Vikings International AB,35.82
EDOMS Internet Vikings International AB,35.82
CHEETAH Internet Vikings International AB,35.82
GIDEV Internet Vikings International AB,35.82
ALPHA Internet Vikings International AB,35.82
CNS Consulta Hosting Services AB,35.82
PROFITBYTE Profitbyte AB,35.82
molnstruktur Molnstruktur IT Sverige AB,35.82
COMCENTER COMCENTER I JKPG AB,35.82
GETSWISH Getswish AB,35.82
FASSBERG Fassberg Holding AB,35.82
SYMSOFT Sinch Operator Software AB,35.82
HOFORS Hofors Elverk AB,35.82
SI2 Si2 Datakonsult HB,35.82
AS_ALLEIMA Alleima EMEA AB,35.82
SUPERVENIENT IP Excess AB,35.82
PIN InfraCom Managed Services AB,35.82
ASHPDC Bredband2 Stockholms Stadsnaet AB,35.82
addmobile Addmobile AB,35.82
BDNET InformationsTeknik i Norrbotten AB,35.82
VaggerydEnergi Vaggeryds Energi AB,35.82
QUXLABS QuxLabs UG,35.82
LOOPIA Loopia AB,35.82
EXCANTO Advania Sverige AB,35.82
RBCOM RB Communication AB,35.82
LOOPIA3 Loopia AB,35.82
CONCODE Dox Sweden AB,35.82
MALMO City of Malmo,35.82
ASODERLAND ODERLAND Webbhotell AB,35.82
BORNET Naetkraft Boraas Infra AB,35.82
BOSNET Bosnet Aktiebolag,35.82
GRIFFEL Griffel AB,35.82
ZETUPNET Nordlo Improve AB,35.82
CAPTECH Exertis CapTech Aktiebolag,35.82
BjareKraft Bjare Kraft ekonomisk forening,35.82
auto1 Giesecke+Devrient Mobile Security Sweden AB,35.82
SKOGSTY Skogsstyrelsen,35.82
fk Falu Kommun,35.82
SCAFP SCA FORESTPRODUCTS AB,35.82
BENDERS Benders Sverige AB,35.82
SUNDSVALL Sundsvalls kommun,35.82
KUPONGINLOSEN ClearOn AB,35.82
INTERNETSTIFTELSEN Stiftelsen for Internetinfrastruktur,35.82
Conect Conect networks and Information Technology i Jonkoping AB,35.82
FSK Forsakringskassan,35.82
RK Regeringskansliet,35.82
NIBENET Nibe AB,35.82
ATEA ATEA Sverige AB,35.82
VASTMANLANDS Vastmanlands Lans Landsting,35.82
GDM GDM Konsult AB,35.82
Karlstad Karlstads Kommun,35.82
RESURS Resurs Bank AB,35.82
TRIPNET Tripnet AB,35.82
LIDERONET Liden Data Internetwork AB,35.82
Asperiq Famco AB,35.82
ADMINOR Adminor Aktiebolag,35.82
OCNET On 1 Call Support AB,35.82
rewicom Netmore Group AB,35.82
GASSECRYNET Norrlands Online AB (publ),35.82
JOGBACK LARS MICHAEL JOGBAECK,35.82
LIDERO Liden Data Internetwork AB,35.82
GAVLENET Gavle Energi AB,35.82
SANDNET Sandviken Energi AB,35.82
AS_Interlan_SE Nordlo Sodra Norrland AB,35.82
FORSS Forss IT AB,35.82
Arkaden Arkaden Konsult AB,35.82
EVROC evroc AB,35.82
GLECOM Resona Glecom AB,35.82
WEKUDATA Wekudata AB,35.82
EXCEDONET Excedo Networks AB,35.82
DUSTINAB Dustin Aktiebolag,35.82
FrejaEid Freja eID Group AB,35.82
getgeek GetGeek AB,35.82
KAMEL Kamel Networks Association,35.82
Polismyndigheten,35.82
OREBRO Orebro Kommun,35.82
NOCOM QD Sverige AB,35.82
Swedish_Tax_Agency Swedish Tax Agency,35.82
VolvoIT Volvo Information Technology AB,35.82
INFRACOM InfraCom Managed Services AB,35.82
BIK Bredband i Kristianstad AB,35.82
KUNGSBACKA Kungsbacka Kommun,35.82
banverket Trafikverket,35.82
benify Benify AB,35.82
Cygategroup Telia Cygate AB,35.82
flightradar24 Flightradar24 AB,35.82
Fibra Fibra AB,35.82
NetNordicSwedenAB NetNordic Sweden AB,35.82
KIVRA Kivra AB,35.82
SVEANET Svea Internet AB,35.82
SUNET SUNET Swedish University Network,35.82
LTUNet Lulea Tekniska Universitet,35.82
UUNet Uppsala University,35.82
SUNT Stockholm University,35.82
GSIX Stiftelsen Goteborgs Studentbostader,35.82
CHALMERS Chalmers University of Technology,35.82
Goteborgs universitet,35.82
EMBARK Embark Studios AB,35.82
LIUnet Linkopings universitet,35.82
Blekinge Tekniska Hogskola,35.82
OUTPOST24 Outpost 24 AB,35.82
Uppsala University,35.82
Hogskolan i Gavle,35.82
UR Sveriges Utbildningsradio Aktiebolag,35.82
JTH Hogskolan i Jonkoping,35.82
CSB Stiftelsen Chalmers Studenthem,35.82
AS1755 STUPI LLC,35.82
FMV FMV,35.82
SLL Region Stockholm,35.82
OWNIT Telenor Sverige AB,35.82
AS_Skolverket Statens Skolverk,35.82
AFA Afa Forsakring tjanstepensionsaktiebolag,35.82
Lund University,35.82
ONEA 1Access Sweden AB,35.82
Dalarna University,35.82
Complior Complior AB,35.82
aixia Aixia AB,35.82
ELONGROUP Elon Group AB,35.82
dianet evolvit Solutions AB,35.82
ITSAM Kommunalforbundet ITSAM,35.82
EPM Nordlo Advance AB,35.82
Egonet Egonet AB,35.82
REGIONHALLAND Region Halland,35.82
KARNIT CoreIT AB,35.82
PAYEX PayEx Sverige AB,35.82
AS_Region_Gavleborg GAVLEBORGS LANS LANDSTING,35.82
NETCOIL Netcoil AB,35.82
relyit Rely IT Norrtelje AB,35.82
SVEA Svea Bank AB,35.82
Viaplay Viaplay Group Sweden AB,35.82
SVT Sveriges Television Aktiebolag,35.82
NORRKOPING Norrkopings Kommun,35.82
HOGIA Hogia Infrastructure Services AB,35.82
TRUSTLY Trustly Group AB,35.82
QBRANCH Axians AB,35.82
EPISERVER_AS Optimizely AB,35.82
WANTECH Wantech AB,35.82
STARDOLL Stardoll AB,35.82
Connexion Telenor Connexion AB,35.82
DNDSWEDEN DND Nordic AB,35.82
KungalvEnergi Kungalv Energi AB,35.82
MicroGroup MicroGroup Europe AB,35.82
mrfriday Scalability AB,35.917220861043056
FORTLAX Cloudist AB,36.0049550089982
VOLVOITJAPAN UD Trucks Corporation,36.08800720288116
Inleed Yelles AB,36.284444444444446
bolliger Sandro Bolliger trading as Bolliger Network Solutions,36.6
SHIGIR Shigir GmbH,36.6
SEABIX Seabix AG,36.6
DIGRIS Digris AG,36.6
marbell Marbell AG,36.6
SYSDEX Sysdex AG,36.6
Evolute Etops AG,36.6
naveum Naveum AG,36.6
Astelon Astelon GmbH,36.6
FINK Andreas Fink trading as Fink Telecom Services GmbH,36.6
SITROX Sitrox AG,36.6
NEXANET Nexanet AG,36.6
HRMSYSTEMS HRM Systems AG,36.6
Easy7 Init7 (Switzerland) Ltd.,36.6
sgsw Sankt Galler Stadtwerke,36.6
bankfrick Bank Frick AG,36.6
INTERNETPROVIDERCH Sandro Bolliger trading as Bolliger Network Solutions,36.6
SOLARCOM Solar Communications GmbH,36.6
KAYAKEU KAYAK Europe GmbH,36.6
VOE VOe multimedia SA,36.6
PKERN Philipp Kern,36.6
gmailify Mercata Sagl,36.6
EFT Energy Financing Team (Switzerland) AG,36.6
CLUE Clue Security Services AG,36.6
ASCOMMUNITY Sandro Bolliger trading as Bolliger Network Solutions,36.6
ONA Open Networks Association,36.6
DOLANSOFT Dolansoft,36.6
LIVESYSTEMS Livesystems Group AG,36.6
JB PARTICIPACOES BRASIL LTDA,36.6
GVB Gebaeudeversicherung Bern (GVB),36.6
FIRSTFRAME First Frame Networkers AG,36.6
AARERZ Unico Data AG,36.6
USM USM U. Schaerer & Soehne AG,36.6
TCNETCH TcNet GmbH,36.6
GLKB Glarner Kantonalbank,36.6
BERN Stadtverwaltung der Stadt Bern,36.6
SYGROUP Adfinis AG,36.6
buchersuter Bucher + Suter AG,36.6
Nakoma Antonio Parrinello trading as Nakoma AG,36.6
KANTONAR Kanton Appenzell Ausserrhoden,36.6
ALPEINSSAG ALPEIN Software SWISS AG,36.6
COHPROG CohProg Sarl,36.6
progest ProGest SA,36.6
JTI JT International SA,36.6
Bobst MEX SA,36.6
SQCORE SWISSQUOTE BANK SA,36.6
RACKBONE Andreas Fink trading as Fink Telecom Services GmbH,36.6
BeeOne Beeone Communications SA,36.6
HATEBUR Hatebur Umformmaschinen AG,36.6
SYLON Sylon Hosting GmbH,36.6
GENEDATA Genedata AG,36.6
MLS MLS Communications Sarl,36.6
kantonluzern Kanton Luzern,36.6
ASNEW Bank CIC (Schweiz) AG,36.6
knet Kantonspolizei Zuerich,36.6
AS212378 Aleksei Papulovskii,36.6
cysec Cysec SA,36.6
ASN Etat du Valais,36.6
swissneutralnet SwissNeutralNet,36.6
eternalNet EternalNet AG,36.6
ANTANET Antares Kommunikationstechnik AG,36.6
redit redIT Services AG,36.6
Regioenergie Regio Energie Solothurn,36.6
PageUp Netrics Bern AG,36.6
PROFZONE Erich Hohermuth,36.6
BE2 OPG Online Personals Group AG,36.6
AS_VADIAN2 Vadian.Net AG,36.6
LAKE LAKE Solutions AG,36.6
BIGIT BIG IT AG,36.6
ISPVOIP Iway AG,36.6
EWH EW Hoefe AG,36.6
SUISA SUISA,36.6
AS_VADIAN Vadian.Net AG,36.6
FREESTONE Matthias Cramer,36.6
AIG AEROPORT INTERNATIONAL DE GENEVE,36.6
BOXIS Box Internet Services Sarl,36.6
HUGY HuGy GmbH,36.6
NETJUMP Net Jump GmbH,36.6
UBP UNION BANCAIRE PRIVEE,36.6
SASAG sasag Kabelkommunikation AG,36.6
ZUGERNET Convotis Schweiz AG,36.6
AMAG AMAG Corporate Services AG,36.6
WISEKEY WISEKEY SA,36.6
TUXLIORG Freunde der Meinungsfreiheit,36.6
PCOMPUTE Pich Tantichukiatikul,36.6
ADMINAFK Ludovic Ortega,36.6
ldoneit David Lowes,36.6
CushNet Stephen Cushen,36.6
SVINE Jan Betik,36.6
VERSIONBLUE Fabian Hars,36.6
GROETZNER Sascha Groetzner,36.6
DISSIDENCE Florian Maunier,36.6
WINGO Swisscom (Schweiz) AG,36.6
FogIXP iFog GmbH,36.6
BEELASTIC Marbell AG,36.6
ALOPEX Jonas Meier,36.6
COMMUNITYIX CommunityRack.org Verein,36.6
ROMANDIX Association RomandIX,36.6
TISMI Tismi BV,36.6
AS_CITYNET City Net LLC,36.6
AS47316 Nova Networks Inc,36.6
internetmanufaktur Internetmanufaktur Karlsruhe UG (haftungsbeschraenkt),36.6
RackFarm RackFarm,36.6
Haitse Lukas Hagen,36.6
APAS Adrian Pekunov,36.6
HENRYCLARKE Henry Clarke,36.6
Sidereal Stuart Williams,36.6
ECKER Michael Ecker,36.6
TELCOPACK Telco Pack SA,36.6
Cyberverse Karthik V,36.6
AS215131 Bram van de Burgt,36.6
SCHAERER Kevin Schaerer,36.6
YLEM Young Min Kim trading as Ylem,36.6
AINSOFT Ainsoft IT Services Ltd.,36.6
lawlietnet Dongyu Zhang,36.6
BAJANSEN Bernardus Jansen,36.6
FFVEC Erick Hoffmann,36.6
DaniilGentili Daniil Gentili,36.6
EvilNET Felix Alcantara,36.6
AGS Abbas Ghanim Saddam,36.6
SYSLINK IWB Industrielle Werke Basel,36.6
BeKB Berner Kantonalbank AG,36.6
MPT2 SITC Inc,36.6
FLOWR3 Flow Swiss AG,36.6
ENIWA Eniwa AG,36.6
CFS CKW Fiber Services AG,36.6
EKT EKT AG,36.6
SWISSSIGN SwissSign AG,36.6
ASCORONA Roman Hochuli,36.6
BOOST Boost (Suisse) SA,36.6
GOLDINGER Goldinger IT GmbH,36.6
SOLIDIT solidIT AG,36.6
YANUDA Yanuda AG,36.6
eqipe eqipe GmbH,36.6
ASFS3 Fiberstream 87 AG,36.6
BetterWorldSecurity Better World Security Sarl,36.6
GOTTEX Gottex Brokers SA,36.6
Alsenet Alsenet SA,36.6
Hidora HIDORA SA,36.6
Orron_Energy Orron Energy SA,36.6
APPLIC8 APPLIC8 SA,36.6
Qbix Qbix GmbH,36.6
KERNEN Thomas Kernen,36.6
ewo_ch_as Elektrizitaetswerk Obwalden,36.6
STAEMPFLI Staempfli AG,36.6
Nexthink Nexthink SA,36.6
CGAS onway (Schweiz) AG,36.6
myisp onway (Schweiz) AG,36.6
bebrave BE BRAVE AG,36.6
ADVACT advact AG,36.6
SERVERBASE ServerBase AG,36.6
RAVANA2 mailXpert GmbH,36.6
MERKLI Manuel Merkli,36.6
NASHIRE Nashire AG,36.6
SinaVPS Marco Sandro Naef,36.6
loadit loadit AG,36.6
KANADE Association Kanade,36.6
clariant Clariant International Ltd.,36.6
CRYPTOMAGIC CryptoMagic GmbH,36.6
ASCANIUS Ascanius AG,36.6
REVERSINGLABS Reversing Labs International GmbH,36.6
MCH MCH Messe Schweiz (Basel) GmbH,36.6
UCSP UCSP Schweiz AG,36.6
CLOUDBIT Flow Swiss AG,36.6
IVOCLAR Ivoclar Vivadent AG,36.6
vestra vestra ICT Ltd.,36.6
"BACHOFEN U. Bachofen trading as ""bachofen.net""",36.6
newsnet Newsnet AG,36.6
MORESICOM Moresi.Com SA,36.6
BYTEWORKS Byteworks GmbH,36.6
BITHAWK BitHawk AG,36.6
